Function	Percentage
HNH nuclease domain-containing protein	53.8
HNH endonuclease	29.0
Putative homing endonuclease	2.5
Uncharacterized protein	1.8
NUMOD4 domain-containing protein	1.3
HTH cro/C1-type domain-containing protein	0.7
Helix-turn-helix domain-containing protein	0.7
NUMOD4 motif-containing protein	0.7
Endonuclease	0.7
Endodeoxyribonuclease	0.6
HNH endonuclease domain protein	0.6
Zinc-binding loop region of homing endonuclease domain-containing protein	0.5
NUMOD4 motif protein	0.4
Phage-related protein	0.4
Phage protein	0.4
NUMOD4 motif	0.2
HNH nuclease	0.2
Homing endonuclease	0.2
Putative HNH endonuclease	0.2
XRE family transcriptional regulator	0.2
Phage-associated homing endonuclease	0.2
Resolvase HTH domain-containing protein	0.2
Transposase-like protein	0.2
Putative bacteriophage-related protein	0.2
Fe-S-cluster-containing dehydrogenase component	0.1
HTH psq-type domain-containing protein	0.1
Helix-turn-helix domain of resolvase	0.1
Phage integrase protein (Modular protein)	0.1
Gp47 phage protein	0.1
Prophage LambdaSa2, HNH endonuclease family protein	0.1
NUMOD4 motif/HNH endonuclease	0.1
NUMOD4 motif-containing HNH endonuclease	0.1
HNH endonuclease:NUMOD4	0.1
Homeodomain-like domain-containing protein	0.1
Phage related endodeoxyribonuclease	0.1
Myxococcus pahge protein P15	0.1
Phage endonuclease	0.1
Bacteriophage endonuclease	0.1
Bro-N domain-containing protein	0.1
Putative bacteriophage t7-related gene protein (Modular protein)	0.1
Putative endonuklease-like protein	0.1
Probable bacteriophage t7-related protein protein	0.1
Putative bacteriophage t7-related gene protein	0.1
NUMOD4 motif family protein	0.1
Bacteriophage T7-related protein	0.1
Uncharacterized gene 7.7 protein (Modular protein) (Modular protein)	0.1
AP2/ERF domain-containing protein	0.1
Anaerobic ribonucleoside-triphosphate reductase activating protein	0.1
Putative phage integrase protein	0.1
Putative structural protein	0.1
Uncharacterized gene 7.7 protein (Modular protein)	0.1
Nuclease associated modular domain-containing protein	0.1
Conserved hypothetical phage protein	0.1
Sle1_029 protein	0.1
HNH homing endonuclease	0.1
