peptide_name,average_plddt
PP-LUZ7_gp001,76.87088319088336
PP-LUZ7_gp003,74.39161589403992
PP-LUZ7_gp004,78.09261904761904
PP-LUZ7_gp007,76.70089049338135
PP-LUZ7_gp008,44.434851330203486
PP-LUZ7_gp009,69.91084048027419
PP-LUZ7_gp010,90.7564489795918
PP-LUZ7_gp011,68.98217257318942
PP-LUZ7_gp012,80.6685279187816
PP-LUZ7_gp013,76.26695049504956
PP-LUZ7_gp014,79.73778205128187
PP-LUZ7_gp015,58.193543599257794
PP-LUZ7_gp016,63.775669934640426
PP-LUZ7_gp017,78.96036900369006
PP-LUZ7_gp018,80.28389728096668
PP-LUZ7_gp023,89.72897666068239
PP-LUZ7_gp024,62.46510128913455
PP-LUZ7_gp025,77.17137288135598
PP-LUZ7_gp026,82.0113973063975
PP-LUZ7_gp027,80.7504379562044
PP-LUZ7_gp028,68.85829614604457
PP-LUZ7_gp029,83.92826007326019
PP-LUZ7_gp033,92.94405117270776
PP-LUZ7_gp044,61.27396825396836
PP-LUZ7_gp045,65.59937817258884
PP-LUZ7_gp048,78.30425120772946
PP-LUZ7_gp050,61.666489028212965
PP-LUZ7_gp054,94.4537557959815
PP-LUZ7_gp055,94.1475921052636
PP-LUZ7_gp070,90.81748962655583
PP-LUZ7_gp072,87.90295049504932
PP-LUZ7_gp087,83.74545608108066
PP-LUZ7_gp088,76.07628755364806
PP-LUZ7_gp089,65.89806343906524
PP-LUZ7_gp090,70.2406932409014
PP-LUZ7_gp091,85.3075231053605
PP-LUZ7_gp092,63.845093984962375
PP-LUZ7_gp093,61.58160611854686
PP-LUZ7_gp094,61.774496124031074
PP-LUZ7_gp095,74.01097269624573
PP-LUZ7_gp096,77.39834381551357
PP-LUZ7_gp097,63.3610040983606
PP-LUZ7_gp098,64.81229166666658
PP-LUZ7_gp099,63.382969837587055
PP-LUZ7_gp100,61.99626923076929
PP-LUZ7_gp101,91.12595903165742
PP-LUZ7_gp102,89.09109461966594
PP-LUZ7_gp103,86.40635531135527
PP-LUZ7_gp104,89.44797468354405
PP-LUZ7_gp105,73.92840490797545
PP-LUZ7_gp106,70.94369811320756
PP-LUZ7_gp107,68.824423076923
PP-LUZ7_gp108,58.623062880324575
PP-LUZ7_gp109,86.18752688172067
PP-LUZ7_gp110,81.0467892976589
PP-LUZ7_gp111,66.23853053435117
PP-LUZ7_gp112,93.43076648841325
PP-LUZ7_gp113,86.21063176895284
PP-LUZ7_gp114,89.58330895795228
PP-LUZ7_gp115,41.118683035714234
