Function	Percentage
Uncharacterized protein	28.5
Head-tail adaptor protein	23.5
Phage head-tail adaptor	5.9
Phage protein	5.6
Phage head closure protein	4.5
Phage head-tail joining protein	4.0
Head-tail adaptor	3.8
Phage head-tail adapter protein	3.5
Head-to-tail stopper	2.4
Phage tail protein	2.1
Phage head-tail adaptor, putative, SPP1 family	1.9
Putative phage head-tail adaptor	1.6
Head-tail joining protein	1.4
Bacteriophage protein	1.2
Bacteriophage head-tail adaptor	0.9
SPP1 family predicted phage head-tail adaptor	0.9
Glutamate 5-kinase	0.9
Putative head-tail joining protein	0.5
Phage head-tail adaptor, putative	0.5
Minor capsid protein	0.5
Tail protein	0.5
Hypothetical phage protein	0.5
Head decoration protein	0.2
N4-gp56 family major capsid protein	0.2
Head-closure protein	0.2
10 kDa chaperonin	0.2
Uncultured bacterium genome assembly Metasoil_fosmids_resub	0.2
Phage-like protein	0.2
Putative phage protein	0.2
DUF2577 domain-containing protein	0.2
Phage capsid and scaffold	0.2
Putative head tail connector protein	0.2
Uncharacterized phage related protein	0.2
Putative Phage head-tail adaptor	0.2
Putative bacteriophage protein	0.2
ASCH domain-containing protein	0.2
DUF1506 domain-containing protein	0.2
Putative SPP1 family predicted phage head-tail adaptor	0.2
Head tail connector protein	0.2
Phage Head-Tail Attachment	0.2
Hypothetical conserved protein	0.2
Phage major tail protein, TP901-1 family	0.2
Transposase	0.2
